Absolute Time Status	N/A			Absolute Time Status	N/A			Absolute Time Status	N/A			
Absolute Time Source	PC			Absolute Time Source	PC			Absolute Time Source	PC			
Absolute Time	2018-11-22 07:17:06 ms 994.807			Absolute Time	2018-11-22 07:17:06 ms 994.807			Absolute Time	2018-11-22 07:17:06 ms 994.807			
PhysicalChannelId	Input11			PhysicalChannelId	Input10			PhysicalChannelId	Input9			
Channel group	Group 1			Channel group	Group 1			Channel group	Group 1			
Channelgroup	Vibration			Channelgroup	Vibration			Channelgroup	Vibration			
Actual sensitivity	0.01023 V/g			Actual sensitivity	0.01009 V/g			Actual sensitivity	0.01027 V/g			
Cylinder offset	0 бу			Cylinder offset	0 бу			Cylinder offset	0 бу			
User comment				User comment				User comment				
User channel id				User channel id				User channel id				
Channel id	13			Channel id	12			Channel id	11			
Channel name	C11			Channel name	C10			Channel name	C9			
DOF id	Point11:None			DOF id	Point10:None			DOF id	Point9:None			
Point direction sign				Point direction sign				Point direction sign				
Point direction absolute	None			Point direction absolute	None			Point direction absolute	None			
Point direction	None			Point direction	None			Point direction	None			
Point id node	Point11			Point id node	Point10			Point id node	Point9			
Point id component				Point id component				Point id component				
Point id	Point11			Point id	Point10			Point id	Point9			
Zero compensation	0 g			Zero compensation	0 g			Zero compensation	0 g			
Lower Limit EU	-977.517 g			Lower Limit EU	-991.08 g			Lower Limit EU	-973.71 g			
Upper Limit EU	977.517 g			Upper Limit EU	991.08 g			Upper Limit EU	973.71 g			
Function class	Time			Function class	Time			Function class	Time			
Weighting	Linear			Weighting	Linear			Weighting	Linear			
Modified	Thu Nov 22 2018 15:17:08			Modified	Thu Nov 22 2018 15:17:08			Modified	Thu Nov 22 2018 15:17:08			
Created	Thu Nov 22 2018 15:17:08			Created	Thu Nov 22 2018 15:17:08			Created	Thu Nov 22 2018 15:17:08			
Span	800 Hz			Span	800 Hz			Span	800 Hz			
Sample frequency	2048 Hz			Sample frequency	2048 Hz			Sample frequency	2048 Hz			
X axis increment	0.000488281 s			X axis increment	0.000488281 s			X axis increment	0.000488281 s			
X axis	0.000148513-6.00015 s			X axis	0.000148513-6.00015 s			X axis	0.000148513-6.00015 s			
X axis unit	s			X axis unit	s			X axis unit	s			
Number of lines	12288			Number of lines	12288			Number of lines	12288			
Value type	Real			Value type	Real			Value type	Real			
Range	0.208582 g			Range	0.18607 g			Range	0.153093 g			
Max value	0.107393 g			Max value	0.0889214 g			Max value	0.073575 g			
Min value	-0.101188 g			Min value	-0.0971481 g			Min value	-0.0795181 g			
Y axis unit	g			Y axis unit	g			Y axis unit	g			
1.485129981e-004	4.355392381e-002			1.485129981e-004	1.584857377e-002			1.485129981e-004	7.012802763e-002			
6.367942481e-004	-6.562920027e-003			6.367942481e-004	2.092979590e-002			6.367942481e-004	4.647467594e-002			
1.125075498e-003	-1.658628880e-002			1.125075498e-003	9.678518335e-004			1.125075498e-003	4.861417509e-002			
1.613356748e-003	1.014269459e-002			1.613356748e-003	2.274451809e-002			1.613356748e-003	2.888323850e-002			
2.101637998e-003	7.433998503e-002			2.101637998e-003	4.778768428e-002			2.101637998e-003	2.210815786e-002			
2.589919248e-003	8.114155670e-002			2.589919248e-003	5.262694345e-002			2.589919248e-003	3.114159871e-002			
3.078200498e-003	1.777954698e-002			3.078200498e-003	2.637396246e-002			3.078200498e-003	4.397859360e-002			
3.566481748e-003	-3.233729686e-002			3.566481748e-003	1.899409223e-002			3.566481748e-003	4.635581487e-002			
4.054762998e-003	-2.863819648e-002			4.054762998e-003	2.274451809e-002			4.054762998e-003	2.460424020e-002			
4.543044248e-003	3.221797104e-003			4.543044248e-003	1.754231448e-002			4.543044248e-003	2.246474105e-002			
5.031325498e-003	2.565505101e-002			5.031325498e-003	5.371577676e-002			5.031325498e-003	-1.984979765e-002			
5.519606748e-003	3.770695870e-002			5.519606748e-003	2.722083282e-002			5.519606748e-003	-1.545193829e-003			
6.007887998e-003	-1.145527859e-002			6.007887998e-003	6.532999876e-003			6.007887998e-003	5.943053189e-004			
6.496169248e-003	-7.720380468e-002			6.496169248e-003	-4.718277688e-003			6.496169248e-003	-7.963691273e-003			
6.984450498e-003	-4.761100165e-002			6.984450498e-003	6.653981355e-003			6.984450498e-003	-3.446970850e-003			
7.472731748e-003	7.756178214e-003			7.472731748e-003	-2.008292555e-002			7.472731748e-003	2.127613042e-002			
7.961012998e-003	4.594044019e-002			7.961012998e-003	1.221912940e-002			7.961012998e-003	6.418497444e-003			
8.449294248e-003	5.214538276e-002			8.449294248e-003	3.157616607e-002			8.449294248e-003	4.516720424e-003			
8.937575498e-003	7.159549120e-004			8.937575498e-003	-1.609053673e-002			8.937575498e-003	4.897075828e-002			
9.425856748e-003	-3.639437469e-002			9.425856748e-003	-1.814722188e-002			9.425856748e-003	3.946187317e-002			
9.914137998e-003	-5.596380896e-002			9.914137998e-003	-1.814722188e-002			9.914137998e-003	1.152952319e-002			
1.040241925e-002	7.994829851e-003			1.040241925e-002	2.092979590e-002			1.040241925e-002	4.635581487e-003			
1.089070050e-002	5.262268603e-002			1.089070050e-002	-8.952629460e-003			1.089070050e-002	2.721918361e-002			
1.137898175e-002	2.505842192e-002			1.137898175e-002	3.048733276e-002			1.137898175e-002	-4.754442551e-004			
1.186726300e-002	-2.792224157e-002			1.186726300e-002	1.838918484e-002			1.186726300e-002	1.545193829e-002			
1.235554425e-002	-4.617909183e-002			1.235554425e-002	-8.468703543e-003			1.235554425e-002	2.329676850e-002			
1.284382550e-002	-4.092875580e-002			1.284382550e-002	1.197716644e-002			1.284382550e-002	9.865468294e-003			
1.333210675e-002	1.193258187e-003			1.333210675e-002	4.210155476e-002			1.333210675e-002	-4.754442551e-003			
1.382038800e-002	5.894695442e-002			1.382038800e-002	3.847211038e-002			1.382038800e-002	1.509535510e-002			
1.430866925e-002	3.174066777e-002			1.430866925e-002	2.770475873e-002			1.430866925e-002	1.378788340e-002			
1.479695050e-002	-3.233729686e-002			1.479695050e-002	4.282744363e-002			1.479695050e-002	-1.901777020e-002			
1.528523175e-002	-5.870830279e-002			1.528523175e-002	-1.076735165e-002			1.528523175e-002	1.402560553e-002			
