Absolute Time Status	N/A			Absolute Time Status	N/A			Absolute Time Status	N/A			
Absolute Time Source	PC			Absolute Time Source	PC			Absolute Time Source	PC			
Absolute Time	2018-11-22 09:13:38 ms 738.239			Absolute Time	2018-11-22 09:13:38 ms 738.239			Absolute Time	2018-11-22 09:13:38 ms 738.239			
PhysicalChannelId	Input11			PhysicalChannelId	Input10			PhysicalChannelId	Input9			
Channel group	Group 1			Channel group	Group 1			Channel group	Group 1			
Channelgroup	Vibration			Channelgroup	Vibration			Channelgroup	Vibration			
Actual sensitivity	0.01023 V/g			Actual sensitivity	0.01009 V/g			Actual sensitivity	0.01027 V/g			
Cylinder offset	0 бу			Cylinder offset	0 бу			Cylinder offset	0 бу			
User comment				User comment				User comment				
User channel id				User channel id				User channel id				
Channel id	13			Channel id	12			Channel id	11			
Channel name	C11			Channel name	C10			Channel name	C9			
DOF id	Point11:None			DOF id	Point10:None			DOF id	Point9:None			
Point direction sign				Point direction sign				Point direction sign				
Point direction absolute	None			Point direction absolute	None			Point direction absolute	None			
Point direction	None			Point direction	None			Point direction	None			
Point id node	Point11			Point id node	Point10			Point id node	Point9			
Point id component				Point id component				Point id component				
Point id	Point11			Point id	Point10			Point id	Point9			
Zero compensation	0 g			Zero compensation	0 g			Zero compensation	0 g			
Lower Limit EU	-977.517 g			Lower Limit EU	-991.08 g			Lower Limit EU	-973.71 g			
Upper Limit EU	977.517 g			Upper Limit EU	991.08 g			Upper Limit EU	973.71 g			
Function class	Time			Function class	Time			Function class	Time			
Weighting	Linear			Weighting	Linear			Weighting	Linear			
Modified	Thu Nov 22 2018 17:13:40			Modified	Thu Nov 22 2018 17:13:40			Modified	Thu Nov 22 2018 17:13:40			
Created	Thu Nov 22 2018 17:13:40			Created	Thu Nov 22 2018 17:13:40			Created	Thu Nov 22 2018 17:13:40			
Span	800 Hz			Span	800 Hz			Span	800 Hz			
Sample frequency	2048 Hz			Sample frequency	2048 Hz			Sample frequency	2048 Hz			
X axis increment	0.000488281 s			X axis increment	0.000488281 s			X axis increment	0.000488281 s			
X axis	0.000229137-6.00023 s			X axis	0.000229137-6.00023 s			X axis	0.000229137-6.00023 s			
X axis unit	s			X axis unit	s			X axis unit	s			
Number of lines	12288			Number of lines	12288			Number of lines	12288			
Value type	Real			Value type	Real			Value type	Real			
Range	0.335306 g			Range	0.330037 g			Range	0.321757 g			
Max value	0.144265 g			Max value	0.173487 g			Max value	0.144178 g			
Min value	-0.191041 g			Min value	-0.15655 g			Min value	-0.177578 g			
Y axis unit	g			Y axis unit	g			Y axis unit	g			
2.291370487e-004	-4.653706928e-002			2.291370487e-004	1.911507371e-002			2.291370487e-004	2.543626765e-002			
7.174182987e-004	4.725302419e-002			7.174182987e-004	1.596955525e-002			7.174182987e-004	1.461991084e-002			
1.205699549e-003	2.983145467e-002			1.205699549e-003	-5.323185084e-002			1.205699549e-003	7.749741358e-002			
1.693980799e-003	2.517774774e-002			1.693980799e-003	1.108190349e-001			1.693980799e-003	-4.219567764e-002			
2.182262049e-003	-5.536717986e-002			2.182262049e-003	-1.040440721e-002			2.182262049e-003	5.990597614e-002			
2.670543299e-003	-5.119077621e-002			2.670543299e-003	1.132386645e-001			2.670543299e-003	-7.333727635e-002			
3.158824549e-003	-2.493909610e-002			3.158824549e-003	-3.629444376e-004			3.158824549e-003	2.840779424e-002			
3.647105799e-003	2.231392809e-002			3.647105799e-003	1.073105720e-001			3.647105799e-003	-5.752875487e-002			
4.135387049e-003	4.844628238e-002			4.135387049e-003	4.863455463e-002			4.135387049e-003	7.131663827e-003			
4.623668299e-003	3.722965543e-002			4.623668299e-003	-4.294842511e-002			4.623668299e-003	4.457289892e-002			
5.111949549e-003	-6.562920027e-002			5.111949549e-003	8.287231324e-002			5.111949549e-003	-2.769462786e-002			
5.600230799e-003	-1.064386303e-001			5.600230799e-003	-3.375383269e-002			5.600230799e-003	3.720351296e-002			
6.088512049e-003	1.169393023e-002			6.088512049e-003	7.851697999e-002			6.088512049e-003	-7.226752678e-002			
6.576793299e-003	2.601302847e-002			6.576793299e-003	1.609053673e-002			6.576793299e-003	4.492948211e-002			
7.065074549e-003	9.235818365e-002			7.065074549e-003	6.339429509e-002			7.065074549e-003	-2.864551637e-002			
7.553355799e-003	-1.467707570e-002			7.553355799e-003	5.323185084e-003			7.553355799e-003	8.165755082e-002			
8.041637049e-003	-4.796897911e-002			8.041637049e-003	5.178007309e-002			8.041637049e-003	3.328109786e-003			
8.529918299e-003	-5.286133767e-002			8.529918299e-003	-4.452118434e-002			8.529918299e-003	8.534224379e-002			
9.018199549e-003	-4.212201399e-002			9.018199549e-003	-8.468703543e-004			9.018199549e-003	4.124478913e-002			
9.506480799e-003	3.448516160e-002			9.506480799e-003	4.246449919e-002			9.506480799e-003	1.283699489e-002			
9.994762049e-003	5.703774132e-002			9.994762049e-003	-3.520561044e-002			9.994762049e-003	5.384406189e-002			
1.048304330e-002	1.801819862e-002			1.048304330e-002	1.202555903e-001			1.048304330e-002	-3.946187317e-002			
1.097132455e-002	-6.682245846e-002			1.097132455e-002	5.928092480e-003			1.097132455e-002	5.634014423e-002			
1.145960580e-002	-4.295729472e-002			1.145960580e-002	7.549244301e-002			1.145960580e-002	-4.647467594e-002			
1.194788705e-002	-3.269527432e-002			1.194788705e-002	7.258888751e-004			1.194788705e-002	4.243339977e-002			
1.243616830e-002	3.042808376e-002			1.243616830e-002	1.111819794e-001			1.243616830e-002	-6.168889210e-002			
1.292444955e-002	7.410133339e-002			1.292444955e-002	1.403385159e-002			1.292444955e-002	1.628396574e-002			
1.341273080e-002	2.983145467e-003			1.341273080e-002	-5.202203605e-003			1.341273080e-002	8.914579783e-003			
1.390101205e-002	-7.159549120e-002			1.390101205e-002	8.408212804e-002			1.390101205e-002	-3.126045977e-002			
1.438929330e-002	-9.880177786e-002			1.438929330e-002	-5.601442486e-002			1.438929330e-002	2.187043574e-002			
1.487757455e-002	1.085864950e-002			1.487757455e-002	1.019873870e-001			1.487757455e-002	-6.941486125e-002			
1.536585580e-002	4.069010417e-002			1.536585580e-002	-2.927751796e-002			1.536585580e-002	5.004050785e-002			
1.585413705e-002	6.813504246e-002			1.585413705e-002	7.525048005e-002			1.585413705e-002	-2.139499148e-002			
1.634241830e-002	3.341122923e-003			1.634241830e-002	-1.742133300e-002			1.634241830e-002	7.904260741e-002			
1.683069955e-002	-5.488987659e-002			1.683069955e-002	3.798818446e-002			1.683069955e-002	-5.943053189e-004			
1.731898080e-002	-9.343211602e-002			1.731898080e-002	7.258888751e-003			1.731898080e-002	3.910528998e-002			
1.780726205e-002	-3.818426197e-003			1.780726205e-002	-3.024536980e-002			1.780726205e-002	4.029390062e-002			
1.829554330e-002	2.851887066e-002			1.829554330e-002	1.403385159e-002			1.829554330e-002	2.210815786e-002			
1.878382455e-002	2.732561248e-002			1.878382455e-002	-3.629444376e-004			1.878382455e-002	4.992164679e-002			
1.927210580e-002	4.796897911e-002			1.927210580e-002	4.754572132e-002			1.927210580e-002	1.152952319e-002			
1.976038705e-002	-9.271616111e-002			1.976038705e-002	1.209814792e-002			1.976038705e-002	4.362201041e-002			
2.024866830e-002	-5.644111223e-002			2.024866830e-002	9.702714631e-002			2.024866830e-002	-5.170456274e-002			
2.073694955e-002	-1.885347935e-002			2.073694955e-002	-1.125127756e-002			2.073694955e-002	2.460424020e-002			
2.122523080e-002	2.744493829e-002			2.122523080e-002	1.287242939e-001			2.122523080e-002	-6.525472401e-002			
2.171351205e-002	6.718043591e-002			2.171351205e-002	9.194592418e-003			2.171351205e-002	1.830460382e-002			
2.220179330e-002	-6.562920027e-003			2.220179330e-002	1.754231448e-002			2.220179330e-002	3.090387658e-003			
2.269007455e-002	-6.395863881e-002			2.269007455e-002	5.879699889e-002			2.269007455e-002	-5.943053189e-003			
2.317835580e-002	-8.842043163e-002			2.317835580e-002	-4.113370292e-002			2.317835580e-002	2.424765701e-002			
