Absolute Time Status	N/A			Absolute Time Status	N/A			Absolute Time Status	N/A			
Absolute Time Source	PC			Absolute Time Source	PC			Absolute Time Source	PC			
Absolute Time	2018-11-22 09:06:44 ms 727.687			Absolute Time	2018-11-22 09:06:44 ms 727.687			Absolute Time	2018-11-22 09:06:44 ms 727.687			
PhysicalChannelId	Input11			PhysicalChannelId	Input10			PhysicalChannelId	Input9			
Channel group	Group 1			Channel group	Group 1			Channel group	Group 1			
Channelgroup	Vibration			Channelgroup	Vibration			Channelgroup	Vibration			
Actual sensitivity	0.01023 V/g			Actual sensitivity	0.01009 V/g			Actual sensitivity	0.01027 V/g			
Cylinder offset	0 бу			Cylinder offset	0 бу			Cylinder offset	0 бу			
User comment				User comment				User comment				
User channel id				User channel id				User channel id				
Channel id	13			Channel id	12			Channel id	11			
Channel name	C11			Channel name	C10			Channel name	C9			
DOF id	Point11:None			DOF id	Point10:None			DOF id	Point9:None			
Point direction sign				Point direction sign				Point direction sign				
Point direction absolute	None			Point direction absolute	None			Point direction absolute	None			
Point direction	None			Point direction	None			Point direction	None			
Point id node	Point11			Point id node	Point10			Point id node	Point9			
Point id component				Point id component				Point id component				
Point id	Point11			Point id	Point10			Point id	Point9			
Zero compensation	0 g			Zero compensation	0 g			Zero compensation	0 g			
Lower Limit EU	-977.517 g			Lower Limit EU	-991.08 g			Lower Limit EU	-973.71 g			
Upper Limit EU	977.517 g			Upper Limit EU	991.08 g			Upper Limit EU	973.71 g			
Function class	Time			Function class	Time			Function class	Time			
Weighting	Linear			Weighting	Linear			Weighting	Linear			
Modified	Thu Nov 22 2018 17:06:46			Modified	Thu Nov 22 2018 17:06:46			Modified	Thu Nov 22 2018 17:06:46			
Created	Thu Nov 22 2018 17:06:46			Created	Thu Nov 22 2018 17:06:46			Created	Thu Nov 22 2018 17:06:46			
Span	800 Hz			Span	800 Hz			Span	800 Hz			
Sample frequency	2048 Hz			Sample frequency	2048 Hz			Sample frequency	2048 Hz			
X axis increment	0.000488281 s			X axis increment	0.000488281 s			X axis increment	0.000488281 s			
X axis	0.000139527-6.00014 s			X axis	0.000139527-6.00014 s			X axis	0.000139527-6.00014 s			
X axis unit	s			X axis unit	s			X axis unit	s			
Number of lines	12288			Number of lines	12288			Number of lines	12288			
Value type	Real			Value type	Real			Value type	Real			
Range	0.37516 g			Range	0.309108 g			Range	0.31201 g			
Max value	0.184478 g			Max value	0.164172 g			Max value	0.153568 g			
Min value	-0.190683 g			Min value	-0.144936 g			Min value	-0.158442 g			
Y axis unit	g			Y axis unit	g			Y axis unit	g			
1.395265748e-004	-2.016606336e-002			1.395265748e-004	5.081222126e-003			1.395265748e-004	-1.687827106e-002			
6.278078248e-004	-7.803908541e-002			6.278078248e-004	-7.246790603e-002			6.278078248e-004	1.557079935e-002			
1.116089075e-003	4.033212671e-002			1.116089075e-003	2.092979590e-002			1.116089075e-003	-5.788533806e-002			
1.604370325e-003	7.302740103e-002			1.604370325e-003	-7.779109112e-002			1.604370325e-003	5.206114593e-002			
2.092651575e-003	1.070352593e-001			2.092651575e-003	2.153470330e-002			2.092651575e-003	-2.983412701e-002			
2.580932825e-003	2.219460227e-002			2.580932825e-003	-3.968192517e-002			2.580932825e-003	5.812306019e-002			
3.069214075e-003	4.295729472e-003			3.069214075e-003	1.113029609e-002			3.069214075e-003	-2.721918361e-002			
3.557495325e-003	-6.479391954e-002			3.557495325e-003	-7.767010964e-002			3.557495325e-003	7.238638784e-002			
4.045776575e-003	8.591458944e-003			4.045776575e-003	-2.685788838e-002			4.045776575e-003	2.139499148e-002			
4.534057825e-003	7.672650141e-002			4.534057825e-003	-6.145859143e-002			4.534057825e-003	3.839212360e-002			
5.022339075e-003	6.503257118e-002			5.022339075e-003	-7.718618372e-002			5.022339075e-003	5.170456274e-002			
5.510620325e-003	6.371998717e-002			5.510620325e-003	3.290696234e-002			5.510620325e-003	-1.984979765e-002			
5.998901575e-003	-2.112066990e-002			5.998901575e-003	-6.387822101e-002			5.998901575e-003	5.847964338e-002			
6.487182825e-003	-2.410381537e-002			6.487182825e-003	4.512609174e-002			6.487182825e-003	-6.121344785e-002			
6.975464075e-003	-5.369661840e-003			6.975464075e-003	-5.178007309e-002			6.975464075e-003	4.136365019e-002			
7.463745325e-003	9.402874511e-002			7.463745325e-003	6.871748018e-002			7.463745325e-003	-7.630880295e-002			
7.952026575e-003	9.617660985e-002			7.952026575e-003	-3.375383269e-002			7.952026575e-003	2.864551637e-002			
8.440307825e-003	5.286133767e-002			8.440307825e-003	-2.589003655e-002			8.440307825e-003	-2.270246318e-002			
8.928589075e-003	-2.649033174e-002			8.928589075e-003	2.262353661e-002			8.928589075e-003	-1.533307723e-002			
9.416870325e-003	-5.477055077e-002			9.416870325e-003	-9.315573897e-002			9.416870325e-003	2.258360212e-002			
9.905151575e-003	2.541639938e-002			9.905151575e-003	4.561001765e-002			9.905151575e-003	-6.454155763e-002			
1.039343282e-002	7.422065921e-002			1.039343282e-002	-7.924286887e-002			1.039343282e-002	6.382839125e-002			
1.088171407e-002	1.205190769e-001			1.088171407e-002	1.536464786e-002			1.088171407e-002	-1.557079935e-002			
1.136999532e-002	1.837617608e-002			1.136999532e-002	-5.202203605e-002			1.136999532e-002	8.130096762e-002			
1.185827657e-002	-9.188088038e-003			1.185827657e-002	1.899409223e-002			1.185827657e-002	-1.830460382e-002			
1.234655782e-002	-2.887684812e-002			1.234655782e-002	-6.508803580e-002			1.234655782e-002	7.975577380e-002			
1.283483907e-002	2.386516373e-004			1.283483907e-002	-4.161762884e-002			1.283483907e-002	3.399426424e-002			
1.332312032e-002	7.863571450e-002			1.332312032e-002	-7.258888751e-003			1.332312032e-002	2.603057297e-002			
1.381140157e-002	8.209616325e-002			1.381140157e-002	-1.021083684e-001			1.381140157e-002	7.512019231e-002			
1.429968282e-002	5.166807948e-002			1.429968282e-002	5.105418422e-002			1.429968282e-002	-1.616510467e-002			
1.478796407e-002	-1.742156953e-002			1.478796407e-002	-5.214301753e-002			1.478796407e-002	5.562697785e-002			
1.527624532e-002	-7.517526576e-003			1.527624532e-002	3.024536980e-002			1.527624532e-002	-4.552378743e-002			
1.576452657e-002	4.773032747e-003			1.576452657e-002	-3.556855488e-002			1.576452657e-002	3.435084743e-002			
1.625280782e-002	9.032964473e-002			1.625280782e-002	6.908042462e-002			1.625280782e-002	-6.715650103e-002			
1.674108907e-002	1.132402019e-001			1.674108907e-002	-1.802624040e-002			1.674108907e-002	1.842346489e-002			
1.722937032e-002	3.663302633e-002			1.722937032e-002	-3.532659192e-002			1.722937032e-002	-1.307471702e-003			
